Rank,Title,Views,Date,URL
1,11年职业交易员：分享2个交易顶尖思维,91971,4y ago,https://www.youtube.com/watch?v=_G7Ar80h_AU
2,成熟交易者的標誌：耐心等待交易機會的到來,81992,5y ago,https://www.youtube.com/watch?v=A2yFnx0_iGU
3,本金太少怎么办？揭秘小资金“以小搏大”的正确姿势,75577,2mo ago,https://www.youtube.com/watch?v=CiFpVu5xXpw
4,交易“反人性”｜如何做交易世界的少数人,65609,4y ago,https://www.youtube.com/watch?v=RKeAzkgYR8w
5,外匯交易技術分析|一位純價格行為（裸K）交易者，如何建構自己的交易系統,63932,6y ago,https://www.youtube.com/watch?v=QcQ5Y1XAd1A
6,盯盤太久，做不長久，為何我不做短線交易？,59099,6y ago,https://www.youtube.com/watch?v=J9BIUHFQjKE
7,交易书籍共读｜读完这本书，你会比90%的人更懂交易,58348,1y ago,https://www.youtube.com/watch?v=FuuInSyOwbM
8,外匯交易指南|為什麼大部分外匯交易者在市場中虧錢？,57652,6y ago,https://www.youtube.com/watch?v=mzfpfv6H6pA
9,10年海外市场交易员：我的交易系统整体框架,56605,5y ago,https://www.youtube.com/watch?v=JN2det9k7ik
10,11年职业交易员：这3种行情，我一定不会去做,50067,4y ago,https://www.youtube.com/watch?v=YtHYCxbCodM
11,亏损交易者的人性弱点｜规避这5条，大概率会做好交易,48214,4y ago,https://www.youtube.com/watch?v=GU3jqRZXpPg
12,11年交易经验分享：如何去除交易中的“贪念”，让交易更加果断客观,47651,5y ago,https://www.youtube.com/watch?v=TjQSHZgvShE
13,如何運用價格行為交易？80%交易者都用錯了,41235,6y ago,https://www.youtube.com/watch?v=KX0nVytsOo0
14,10年海外市場交易員：切記隨意去畫支撐阻力線,38696,6y ago,https://www.youtube.com/watch?v=RQgCc725iK8
15,交易世界中，最重要的6件事｜附加1個關鍵品質,38295,4y ago,https://www.youtube.com/watch?v=FduyYvq_29I
16,交易就是：找到一条简单的路，然后走得足够远｜什么简单的路？｜交易者长板和短板｜散户优势,37746,1y ago,https://www.youtube.com/watch?v=cq1-83EHu7g
17,10年交易经验分享：交易方向的判断技巧,36805,5y ago,https://www.youtube.com/watch?v=iOIua6lisW8
18,【爆料】如何選擇靠譜的外匯交易平台：出入金方面，你不知道的那些事,36395,6y ago,https://www.youtube.com/watch?v=LkfvfKL8xsE
19,15年交易经验：我为何不用技术指标？｜一次性讲透技术指标｜深刻理解指标,36179,3mo ago,https://www.youtube.com/watch?v=OPyV9L095hI
